,productsListId,name,productName,url,stock,priceWithGST,createdAt,companyName,runtime
27,33,UNO Smart Robot Car Kit V 3.0. Intelligent and Educational Kit for Kids,DIY Uno Project Smart Robot Car Kit V 3.0,https://robu.in/product/24-1-elegoo-arduino-project-smart-robot-car-kit-four-wheel-drives/,1057,4999,27-04-2024,ROBU,1
28,34,NVIDIA Jetson Nano Developer Kit-B01,NVIDIA Jetson Nano B01 4GB Developer Kit,https://robu.in/product/nvidia-jetson-nano-developer-kit/,0,20999,27-04-2024,ROBU,1
29,35,IMAX B6 80W 6A Charger/Discharger 1-6 Cells (Copy),iMax B6 Digital LiPo Battery Charger,https://robu.in/product/imax-b6-80w-6a-charger-discharger-1-6-cells/,140,2023,27-04-2024,ROBU,1
30,42,Aluminum Heat Sink Case with Double Fans for Raspberry Pi 4B – Black,Raspberry Pi Metal Aluminum Case with Double Fans for Raspberry Pi 4B (Gold),https://robu.in/product/aluminum-heat-sink-case-with-double-fans-for-raspberry-pi-4b-black/,1246,630,27-04-2024,ROBU,1
31,36,Aluminum Heat Sink Case with Double Fans for Raspberry Pi 4B – Black,Raspberry Pi Metal Aluminium Case with Double Fans for Raspberry Pi 4B (Black),https://robu.in/product/aluminum-heat-sink-case-with-double-fans-for-raspberry-pi-4b-black/,1246,630,27-04-2024,ROBU,1
32,38,Bonka 11.1V 2200mAh 35C 3S Lithium Polymer Battery Pack,11.1V 2200mAh 35C 3S1P Bonka Lipo Battery,https://robu.in/product/bonka-2200mah-3s1p-lithium-polymer-battery-pack/,0,1749,27-04-2024,ROBU,1
33,40,12V 16 Channel Relay Module with Light Coupling LM2576 Power Supply,16 Channel 12V Relay Module Board,https://robu.in/product/12v-16-channel-relay-module-light-coupling-lm2576-power-supply/,0,552,27-04-2024,ROBU,1
34,41,STC-1000 AC220V Digital Temperature Controlled Thermostat Switch,110V~ 220V AC All-Purpose Temperature Control Controller with Sensor 2 Relay Output Thermostat Stc-1000,https://robu.in/product/stc-1000-ac220v-digital-temperature-controlled-thermostat-switch/,8,348,27-04-2024,ROBU,1
35,42,Aluminum Heat Sink Case with Double Fans for Raspberry Pi 4B – Black,Raspberry Pi Metal Aluminum Case with Double Fans for Raspberry Pi 4B (Gold),https://robu.in/product/aluminum-heat-sink-case-with-double-fans-for-raspberry-pi-4b-black/,1246,630,27-04-2024,ROBU,1
36,36,Aluminum Heat Sink Case with Double Fans for Raspberry Pi 4B – Black,Raspberry Pi Metal Aluminium Case with Double Fans for Raspberry Pi 4B (Black),https://robu.in/product/aluminum-heat-sink-case-with-double-fans-for-raspberry-pi-4b-black/,1246,630,27-04-2024,ROBU,1
